"icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"8993ae","BR16T   ","Taiwan","1586510799","1586510799",121.2239,25.066,NA,"TRUE","1.29","185.62",NA,NA,NA,NA,"FALSE","0"
"a5b923","UPS674  ","United States","1586510799","1586510799",-93.4238,40.0017,"8092.44","FALSE","223.44","236.46","-16.26",NA,"8107.68","0471","FALSE","0"
"a0a332","FDX1723 ","United States","1586510799","1586510799",-92.286,36.0003,"9761.22","FALSE","213.19","233.24","0",NA,"9913.62","7354","FALSE","0"
"7805a9","CSN452  ","China","1586510798","1586510799",39.1881,59.9095,"9448.8","FALSE","265.54","75.18","0",NA,"9006.84","0215","FALSE","0"
"3c5824","IFA4063 ","Germany","1586510799","1586510799",32.9919,41.4518,"11277.6","FALSE","238.65","115.13","0.65",NA,"11269.98","4372","FALSE","0"
"86ddb2","JAL133  ","Japan","1586510799","1586510799",138.9559,35.1336,"7924.8","FALSE","209.95","258.55","0",NA,"7863.84","7322","FALSE","0"
"7805aa","CSN461  ","China","1586510799","1586510799",88.781,53.298,"9753.6","FALSE","245.55","295.17","0",NA,"9624.06",NA,"FALSE","0"
"850d8c","JAL190  ","Japan","1586510799","1586510799",138.6064,34.8048,"8305.8","FALSE","240.27","105.52","-10.08",NA,"8237.22","7323","FALSE","0"
"440666","MMRO1234","Austria","1586510799","1586510799",24.8546,59.4149,NA,"TRUE","5.14","270",NA,NA,NA,"7776","FALSE","0"
"7805d3","CHH7739 ","China","1586510653","1586510653",113.2921,23.2743,"1531.62","FALSE","126.42","241.04","13.66",NA,"1592.58","0612","FALSE","0"
"8681aa","SKY308  ","Japan","1586510795","1586510797",138.8345,34.1868,"8313.42","FALSE","250.39","67.91","-5.2",NA,"8427.72","4701","FALSE","0"
"7805cc","CSN8579 ","China","1586510799","1586510799",113.9303,22.5085,"2438.4","FALSE","146.54","67.94","13.66",NA,"2552.7","2426","FALSE","0"
"a2a6fe","FDX1458 ","United States","1586510730","1586510789",-82.8548,29.6291,"8641.08","FALSE","265.84","132.33","-4.23",NA,"8976.36","5675","FALSE","0"
"ad76a8","FDX1558 ","United States","1586510799","1586510799",-85.7785,34.353,"11277.6","FALSE","313.98","101.05","0",NA,"11452.86","2267","FALSE","0"
"7805f7","CSN6666 ","China","1586510698","1586510710",123.2466,36.2452,"10088.88","FALSE","236.71","178.63","0.33",NA,"10134.6","2572","FALSE","0"
"a6aadf","FDX1514 ","United States","1586510799","1586510799",-81.5137,37.3082,"11285.22","FALSE","315.94","74.22","0",NA,"11209.02","1525","FALSE","0"
"30040b","PROVA   ","Italy","1586510764","1586510767",8.5467,45.7812,"373.38","FALSE","74.05","191.62","-1.63",NA,"510.54","0030","FALSE","0"
"3cf68e","ADN55F  ","Germany","1586510799","1586510799",17.3391,46.7284,"11894.82","FALSE","226.97","128.56","0.33",NA,"12031.98","4365","FALSE","0"
"06a070","QTR3EL  ","Qatar","1586510792","1586510792",115.9712,-31.9407,NA,"TRUE","0","194.06",NA,NA,NA,"2000","FALSE","0"
"4c01e1","ASL4351 ","Serbia","1586510794","1586510795",8.531,50.0353,NA,"TRUE","10.29","247.5",NA,NA,NA,"7640","FALSE","0"
"06a081","QTR8409 ","Qatar","1586510780","1586510781",58.4659,25.9217,"9753.6","FALSE","242.75","311.39","0.33",NA,"10226.04",NA,"FALSE","0"
"06a080","QTR8237 ","Qatar","1586510799","1586510799",29.7037,42.4462,"10363.2","FALSE","236.99","282.92","0",NA,"10401.3","3214","FALSE","0"
"ad6415","FDX1439 ","United States","1586510799","1586510799",-78.453,38.1969,"10668","FALSE","310.96","68.66","0",NA,"10500.36","1544","FALSE","0"
"300407","PROVA22 ","Italy","1586510772","1586510772",8.6703,45.7928,"419.1","FALSE","62.14","165.62","-0.33",NA,"563.88","0030","FALSE","0"
"ad27f3","JBU1516 ","United States","1586510799","1586510799",-98.704,41.616,"11871.96","FALSE","247.92","84.88","0",NA,"11925.3","7665","FALSE","0"
"06a07a","QTR870  ","Qatar","1586510799","1586510799",74.3371,28.2048,"10668","FALSE","259.07","85.44","0",NA,"11003.28","2651","FALSE","0"
"a8063e","NKS1972 ","United States","1586510799","1586510799",-97.4607,32.7956,"2674.62","FALSE","148.65","115.41","-7.48",NA,"2758.44","0725","FALSE","0"
"3c4588","BOX571  ","Germany","1586510595","1586510596",12.2498,51.4093,NA,"TRUE","0.77","267.19",NA,NA,NA,"4511","FALSE","0"
"39cf03","AFR456  ","France","1586510799","1586510799",2.5294,48.6765,"4183.38","FALSE","174.59","209.28","11.05",NA,"4366.26","7561","FALSE","0"
"a5a690","UPS778  ","United States","1586510795","1586510795",-92.7145,34.0748,"10363.2","FALSE","209.62","209.4","0.65",NA,"10607.04","3172","FALSE","0"
"3c4584","BOX581  ","Germany","1586510799","1586510799",20.4324,57.0925,"10972.8","FALSE","232.32","237.3","0",NA,"10767.06","5354","FALSE","0"
